"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PPP1R12B",958.015975570684,-1.18667414240765,0.0845654846194829,-14.0326061838029,9.8465446766797e-45,2.64241872943376e-40
"AP000892.3",348.972283242756,-3.34891180771316,0.248159648241045,-13.4949893403309,1.6737936975541e-41,2.2458963833781e-37
"SPRY2",132.605198608037,-2.58819672898796,0.192800750185018,-13.4242046594956,4.36242695797383e-41,3.90233632813953e-37
"TNXB",3662.18813282651,-4.4046849458946,0.330053426268683,-13.3453695533187,1.26043953025417e-40,8.45628880847523e-37
"IGFBP6",108.949822607957,-3.48179104420196,0.273595383089003,-12.7260592079118,4.23689926374503e-37,2.27402857283723e-33
"LIMS2",319.224927348583,-2.63542119893208,0.208517538796924,-12.6388466607537,1.28931274385364e-36,5.76666613234273e-33
"FAM110D",42.0242776499569,-3.70981803931982,0.29396013068068,-12.6201401214836,1.63530052915435e-36,6.26927500005516e-33
"SCN4B",122.175707277797,-3.45847145400535,0.276597017194172,-12.503646962966,7.13035394354864e-36,2.16142056206541e-32
"CAPN11",21.2735877758502,-3.01368790229558,0.241049947506639,-12.5023379323183,7.24876474086627e-36,2.16142056206541e-32
"ATP1B2",23.4815900263407,-2.70622914797053,0.216906097291289,-12.476501037849,1.00298122021068e-35,2.69160040255737e-32
"PDE2A",210.886345503854,-3.67631599660279,0.297091679629015,-12.3743485552793,3.59801699541638e-35,8.77785309899946e-32
"CARMN",2547.47644092979,-3.03490181788693,0.246225770634524,-12.3256871531602,6.58794976538761e-35,1.47328516586618e-31
"GSN",5658.74117527257,-2.89964626485009,0.240648351250649,-12.0493086687719,1.95583412865705e-33,4.03744343666466e-30
"LMOD1",299.139277052305,-2.81556179429626,0.23512252082012,-11.9748707375008,4.81186983904883e-33,9.22366707147961e-30
"LTBP4",694.573615320774,-2.17143312835596,0.182365435454229,-11.9070432560174,1.08766036054682e-32,1.94589689570897e-29
"RASIP1",129.818276872618,-2.65561346464241,0.223228213243052,-11.8964060414306,1.23554440750502e-32,2.0723168574878e-29
"MIR497HG",55.5123257134205,-2.16321843459015,0.181997116492157,-11.8860038899757,1.39943505601731e-32,2.20913171548709e-29
"HIST1H2BD",199.492844072683,2.47855034510373,0.208849815442747,11.867620470956,1.74356466171704e-32,2.59946118121325e-29
"CPS1",28.7458433591793,-2.43778684010938,0.206009152413761,-11.8333909515495,2.62325913937708e-32,3.70514643496439e-29
"RBMS2",500.795825315076,-1.41910115402229,0.121034753965421,-11.7247410973192,9.51916302117741e-32,1.27728129418158e-28
"HIST1H2BF",100.392083021061,3.13604602381892,0.268019541359665,11.7008110972422,1.2624103651968e-31,1.61324021716292e-28
"EGFLAM",77.641313858029,-2.2559025061218,0.192983409606168,-11.6896188678889,1.44031507932345e-31,1.75692252130564e-28
"ANGPT4",22.0377152545666,-4.61361530367205,0.396403032237986,-11.6386983157641,2.6198338974567e-31,3.05677662922383e-28
"ADAMTS5",495.915904737767,-2.92605283247234,0.25192241162978,-11.6148968785374,3.4620583349895e-31,3.87115822824076e-28
"CLEC3B",218.207349374879,-4.328780660309,0.373614492549615,-11.586222554614,4.84011208866749e-31,5.19556992045923e-28
"COL25A1",70.9496622116423,-3.75077233934813,0.325605697419403,-11.5193694983687,1.05379257445091e-30,1.08767605876787e-27
"LGI4",66.2297846458453,-3.23806530058463,0.281662818139654,-11.4962469024901,1.37776974976921e-30,1.36940107425209e-27
"TPO",105.906104457716,-4.25696915075966,0.370424035772919,-11.4921515335179,1.44468333733197e-30,1.38462578716574e-27
"BTNL9",952.999805171604,-4.21226704005189,0.369767900241925,-11.3916514583769,4.60184057071855e-30,4.25844805364838e-27
"ADAMTS9-AS2",83.4768601702265,-2.96897766218227,0.261800009358552,-11.3406323760518,8.25458026448072e-30,7.38399719925349e-27
"PNMA8B",26.848066795947,-2.50182790219147,0.221646837948516,-11.2874513588712,1.51362149044878e-29,1.31030794573172e-26
"GPR146",77.4563840544788,-3.1340127493881,0.280589571312544,-11.1693842886883,5.75786113555762e-29,4.82868629480701e-26
"TNS1",6613.49133587935,-2.98739255677374,0.268026193053627,-11.1458978047568,7.49841952257711e-29,5.99529944713679e-26
